date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:27	465/465	---M-Z	200	added ('OK')	text/plain	date:Fri,%2005%20Jun%202020%2015:52:39%20GMT	https://krazydad.com/robots.txt		(from )
10:11:28	14192/14192	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2004:41:26%20GMT	https://krazydad.com/tablet/vslitherlink/	F:/2/krazydad.com/tablet/vslitherlink/index.html	(from )
10:11:29	99967/99967	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202014%2019:57:43%20GMT	https://krazydad.com/tablet/css/bootstrap.min.css	F:/2/krazydad.com/tablet/css/bootstrap.min.css	(from https://krazydad.com/tablet/vslitherlink/)
10:11:29	1590/1590	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202014%2019:57:43%20GMT	https://krazydad.com/tablet/css/bootstrap-toggle.min.css	F:/2/krazydad.com/tablet/css/bootstrap-toggle.min.css	(from https://krazydad.com/tablet/vslitherlink/)
10:11:30	899/899	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202014%2019:57:43%20GMT	https://krazydad.com/tablet/css/jquery.bootstrap-touchspin.min.css	F:/2/krazydad.com/tablet/css/jquery.bootstrap-touchspin.min.css	(from https://krazydad.com/tablet/vslitherlink/)
10:11:31	3563/3563	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Jun%202016%2023:40:11%20GMT	https://krazydad.com/tablet/css/common.css	F:/2/krazydad.com/tablet/css/common.css	(from https://krazydad.com/tablet/vslitherlink/)
10:11:31	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	F:/2/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:32	253668/253668	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	F:/2/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:32	7001/7001	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/jquery.enhanced.cookie.js	F:/2/krazydad.com/tablet/js/jquery.enhanced.cookie.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:33	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	https://www.google-analytics.com/analytics.js	F:/2/www.google-analytics.com/analytics.js	(from https://krazydad.com/tablet/vslitherlink/)
10:11:33	8659/8659	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jun%202020%2002:00:26%20GMT	https://krazydad.com/tablet/img/blm_logo.png	F:/2/krazydad.com/tablet/img/blm_logo.png	(from https://krazydad.com/tablet/vslitherlink/)
10:11:34	517/517	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:48%20GMT	https://krazydad.com/tablet/img/pencil_32.png	F:/2/krazydad.com/tablet/img/pencil_32.png	(from https://krazydad.com/tablet/vslitherlink/)
